id,Week,item_id,Maincategory,Subcategory,search_volume
2022-04-031,2022-04-03,1,Vegetables,Knollen & wortelgewassen,62
2022-04-101,2022-04-10,1,Vegetables,Knollen & wortelgewassen,52
2022-04-171,2022-04-17,1,Vegetables,Knollen & wortelgewassen,53
2022-04-241,2022-04-24,1,Vegetables,Knollen & wortelgewassen,60
2022-05-011,2022-05-01,1,Vegetables,Knollen & wortelgewassen,45
2022-05-081,2022-05-08,1,Vegetables,Knollen & wortelgewassen,43
2022-05-151,2022-05-15,1,Vegetables,Knollen & wortelgewassen,54
2022-05-221,2022-05-22,1,Vegetables,Knollen & wortelgewassen,43
2022-05-291,2022-05-29,1,Vegetables,Knollen & wortelgewassen,42
2022-06-051,2022-06-05,1,Vegetables,Knollen & wortelgewassen,46
2022-06-121,2022-06-12,1,Vegetables,Knollen & wortelgewassen,48
2022-06-191,2022-06-19,1,Vegetables,Knollen & wortelgewassen,44
2022-06-261,2022-06-26,1,Vegetables,Knollen & wortelgewassen,47
2022-07-031,2022-07-03,1,Vegetables,Knollen & wortelgewassen,46
2022-07-101,2022-07-10,1,Vegetables,Knollen & wortelgewassen,49
2022-07-171,2022-07-17,1,Vegetables,Knollen & wortelgewassen,49
2022-07-241,2022-07-24,1,Vegetables,Knollen & wortelgewassen,44
2022-07-311,2022-07-31,1,Vegetables,Knollen & wortelgewassen,56
2022-08-071,2022-08-07,1,Vegetables,Knollen & wortelgewassen,56
2022-08-141,2022-08-14,1,Vegetables,Knollen & wortelgewassen,54
2022-08-211,2022-08-21,1,Vegetables,Knollen & wortelgewassen,54
2022-08-281,2022-08-28,1,Vegetables,Knollen & wortelgewassen,44
2022-09-041,2022-09-04,1,Vegetables,Knollen & wortelgewassen,54
2022-09-111,2022-09-11,1,Vegetables,Knollen & wortelgewassen,50
2022-09-181,2022-09-18,1,Vegetables,Knollen & wortelgewassen,56
2022-09-251,2022-09-25,1,Vegetables,Knollen & wortelgewassen,65
2022-10-021,2022-10-02,1,Vegetables,Knollen & wortelgewassen,68
2022-10-091,2022-10-09,1,Vegetables,Knollen & wortelgewassen,68
2022-10-161,2022-10-16,1,Vegetables,Knollen & wortelgewassen,62
2022-10-231,2022-10-23,1,Vegetables,Knollen & wortelgewassen,68
2022-10-301,2022-10-30,1,Vegetables,Knollen & wortelgewassen,51
2022-11-061,2022-11-06,1,Vegetables,Knollen & wortelgewassen,76
2022-11-131,2022-11-13,1,Vegetables,Knollen & wortelgewassen,70
2022-11-201,2022-11-20,1,Vegetables,Knollen & wortelgewassen,61
2022-11-271,2022-11-27,1,Vegetables,Knollen & wortelgewassen,66
2022-12-041,2022-12-04,1,Vegetables,Knollen & wortelgewassen,56
2022-12-111,2022-12-11,1,Vegetables,Knollen & wortelgewassen,60
2022-12-181,2022-12-18,1,Vegetables,Knollen & wortelgewassen,100
2022-12-251,2022-12-25,1,Vegetables,Knollen & wortelgewassen,71
2023-01-011,2023-01-01,1,Vegetables,Knollen & wortelgewassen,66
2023-01-081,2023-01-08,1,Vegetables,Knollen & wortelgewassen,69
2023-01-151,2023-01-15,1,Vegetables,Knollen & wortelgewassen,65
2023-01-221,2023-01-22,1,Vegetables,Knollen & wortelgewassen,60
2023-01-291,2023-01-29,1,Vegetables,Knollen & wortelgewassen,69
2023-02-051,2023-02-05,1,Vegetables,Knollen & wortelgewassen,56
2023-02-121,2023-02-12,1,Vegetables,Knollen & wortelgewassen,58
2023-02-191,2023-02-19,1,Vegetables,Knollen & wortelgewassen,61
2023-02-261,2023-02-26,1,Vegetables,Knollen & wortelgewassen,66
2023-03-051,2023-03-05,1,Vegetables,Knollen & wortelgewassen,70
2023-03-121,2023-03-12,1,Vegetables,Knollen & wortelgewassen,62
2023-03-191,2023-03-19,1,Vegetables,Knollen & wortelgewassen,73
2023-03-261,2023-03-26,1,Vegetables,Knollen & wortelgewassen,56
2023-04-021,2023-04-02,1,Vegetables,Knollen & wortelgewassen,57
2023-04-091,2023-04-09,1,Vegetables,Knollen & wortelgewassen,59
2023-04-161,2023-04-16,1,Vegetables,Knollen & wortelgewassen,54
2023-04-231,2023-04-23,1,Vegetables,Knollen & wortelgewassen,50
2023-04-301,2023-04-30,1,Vegetables,Knollen & wortelgewassen,54
2023-05-071,2023-05-07,1,Vegetables,Knollen & wortelgewassen,50
2023-05-141,2023-05-14,1,Vegetables,Knollen & wortelgewassen,44
2023-05-211,2023-05-21,1,Vegetables,Knollen & wortelgewassen,56
2023-05-281,2023-05-28,1,Vegetables,Knollen & wortelgewassen,50
2023-06-041,2023-06-04,1,Vegetables,Knollen & wortelgewassen,48
2023-06-111,2023-06-11,1,Vegetables,Knollen & wortelgewassen,47
2023-06-181,2023-06-18,1,Vegetables,Knollen & wortelgewassen,43
2023-06-251,2023-06-25,1,Vegetables,Knollen & wortelgewassen,52
2023-07-021,2023-07-02,1,Vegetables,Knollen & wortelgewassen,43
2023-07-091,2023-07-09,1,Vegetables,Knollen & wortelgewassen,46
2023-07-161,2023-07-16,1,Vegetables,Knollen & wortelgewassen,50
2023-07-231,2023-07-23,1,Vegetables,Knollen & wortelgewassen,56
2023-07-301,2023-07-30,1,Vegetables,Knollen & wortelgewassen,56
2023-08-061,2023-08-06,1,Vegetables,Knollen & wortelgewassen,62
2023-08-131,2023-08-13,1,Vegetables,Knollen & wortelgewassen,50
2023-08-201,2023-08-20,1,Vegetables,Knollen & wortelgewassen,55
2023-08-271,2023-08-27,1,Vegetables,Knollen & wortelgewassen,50
2023-09-031,2023-09-03,1,Vegetables,Knollen & wortelgewassen,58
2023-09-101,2023-09-10,1,Vegetables,Knollen & wortelgewassen,49
2023-09-171,2023-09-17,1,Vegetables,Knollen & wortelgewassen,56
2023-09-241,2023-09-24,1,Vegetables,Knollen & wortelgewassen,64
2023-10-011,2023-10-01,1,Vegetables,Knollen & wortelgewassen,68
2023-10-081,2023-10-08,1,Vegetables,Knollen & wortelgewassen,65
2023-10-151,2023-10-15,1,Vegetables,Knollen & wortelgewassen,60
2023-10-221,2023-10-22,1,Vegetables,Knollen & wortelgewassen,57
2023-10-291,2023-10-29,1,Vegetables,Knollen & wortelgewassen,58
2023-11-051,2023-11-05,1,Vegetables,Knollen & wortelgewassen,57
2023-11-121,2023-11-12,1,Vegetables,Knollen & wortelgewassen,74
2023-11-191,2023-11-19,1,Vegetables,Knollen & wortelgewassen,63
2023-11-261,2023-11-26,1,Vegetables,Knollen & wortelgewassen,55
2023-12-031,2023-12-03,1,Vegetables,Knollen & wortelgewassen,54
2023-12-101,2023-12-10,1,Vegetables,Knollen & wortelgewassen,70
2023-12-171,2023-12-17,1,Vegetables,Knollen & wortelgewassen,83
2023-12-241,2023-12-24,1,Vegetables,Knollen & wortelgewassen,74
2023-12-311,2023-12-31,1,Vegetables,Knollen & wortelgewassen,62
2024-01-071,2024-01-07,1,Vegetables,Knollen & wortelgewassen,75
2024-01-141,2024-01-14,1,Vegetables,Knollen & wortelgewassen,69
2024-01-211,2024-01-21,1,Vegetables,Knollen & wortelgewassen,65
2024-01-281,2024-01-28,1,Vegetables,Knollen & wortelgewassen,64
2024-02-041,2024-02-04,1,Vegetables,Knollen & wortelgewassen,74
2024-02-111,2024-02-11,1,Vegetables,Knollen & wortelgewassen,61
2024-02-181,2024-02-18,1,Vegetables,Knollen & wortelgewassen,63
2024-02-251,2024-02-25,1,Vegetables,Knollen & wortelgewassen,54
2024-03-031,2024-03-03,1,Vegetables,Knollen & wortelgewassen,69
2024-03-101,2024-03-10,1,Vegetables,Knollen & wortelgewassen,66
2024-03-171,2024-03-17,1,Vegetables,Knollen & wortelgewassen,63
2024-03-241,2024-03-24,1,Vegetables,Knollen & wortelgewassen,64
2024-03-311,2024-03-31,1,Vegetables,Knollen & wortelgewassen,56
2024-04-071,2024-04-07,1,Vegetables,Knollen & wortelgewassen,61
2024-04-141,2024-04-14,1,Vegetables,Knollen & wortelgewassen,56
2024-04-211,2024-04-21,1,Vegetables,Knollen & wortelgewassen,56
2024-04-281,2024-04-28,1,Vegetables,Knollen & wortelgewassen,55
2024-05-051,2024-05-05,1,Vegetables,Knollen & wortelgewassen,52
2024-05-121,2024-05-12,1,Vegetables,Knollen & wortelgewassen,46
2024-05-191,2024-05-19,1,Vegetables,Knollen & wortelgewassen,45
2024-05-261,2024-05-26,1,Vegetables,Knollen & wortelgewassen,47
2024-06-021,2024-06-02,1,Vegetables,Knollen & wortelgewassen,48
2024-06-091,2024-06-09,1,Vegetables,Knollen & wortelgewassen,42
2024-06-161,2024-06-16,1,Vegetables,Knollen & wortelgewassen,50
2024-06-231,2024-06-23,1,Vegetables,Knollen & wortelgewassen,43
2024-06-301,2024-06-30,1,Vegetables,Knollen & wortelgewassen,41
2024-07-071,2024-07-07,1,Vegetables,Knollen & wortelgewassen,47
2024-07-141,2024-07-14,1,Vegetables,Knollen & wortelgewassen,44
2024-07-211,2024-07-21,1,Vegetables,Knollen & wortelgewassen,46
2024-07-281,2024-07-28,1,Vegetables,Knollen & wortelgewassen,46
2024-08-041,2024-08-04,1,Vegetables,Knollen & wortelgewassen,43
2024-08-111,2024-08-11,1,Vegetables,Knollen & wortelgewassen,48
2024-08-181,2024-08-18,1,Vegetables,Knollen & wortelgewassen,44
2024-08-251,2024-08-25,1,Vegetables,Knollen & wortelgewassen,53
2024-09-011,2024-09-01,1,Vegetables,Knollen & wortelgewassen,54
2024-09-081,2024-09-08,1,Vegetables,Knollen & wortelgewassen,64
2024-09-151,2024-09-15,1,Vegetables,Knollen & wortelgewassen,56
2024-09-221,2024-09-22,1,Vegetables,Knollen & wortelgewassen,58
2024-09-291,2024-09-29,1,Vegetables,Knollen & wortelgewassen,58
2024-10-061,2024-10-06,1,Vegetables,Knollen & wortelgewassen,61
2024-10-131,2024-10-13,1,Vegetables,Knollen & wortelgewassen,67
2024-10-201,2024-10-20,1,Vegetables,Knollen & wortelgewassen,58
2024-10-271,2024-10-27,1,Vegetables,Knollen & wortelgewassen,62
2024-11-031,2024-11-03,1,Vegetables,Knollen & wortelgewassen,60
2024-11-101,2024-11-10,1,Vegetables,Knollen & wortelgewassen,63
2024-11-171,2024-11-17,1,Vegetables,Knollen & wortelgewassen,56
2024-11-241,2024-11-24,1,Vegetables,Knollen & wortelgewassen,53
2024-12-011,2024-12-01,1,Vegetables,Knollen & wortelgewassen,56
2024-12-081,2024-12-08,1,Vegetables,Knollen & wortelgewassen,65
2024-12-151,2024-12-15,1,Vegetables,Knollen & wortelgewassen,77
2024-12-221,2024-12-22,1,Vegetables,Knollen & wortelgewassen,89
2024-12-291,2024-12-29,1,Vegetables,Knollen & wortelgewassen,55
2025-01-051,2025-01-05,1,Vegetables,Knollen & wortelgewassen,61
2025-01-121,2025-01-12,1,Vegetables,Knollen & wortelgewassen,75
2025-01-191,2025-01-19,1,Vegetables,Knollen & wortelgewassen,67
2025-01-261,2025-01-26,1,Vegetables,Knollen & wortelgewassen,68
2025-02-021,2025-02-02,1,Vegetables,Knollen & wortelgewassen,69
2025-02-091,2025-02-09,1,Vegetables,Knollen & wortelgewassen,53
2025-02-161,2025-02-16,1,Vegetables,Knollen & wortelgewassen,59
2025-02-231,2025-02-23,1,Vegetables,Knollen & wortelgewassen,60
2025-03-021,2025-03-02,1,Vegetables,Knollen & wortelgewassen,59
2025-03-091,2025-03-09,1,Vegetables,Knollen & wortelgewassen,56
2025-03-161,2025-03-16,1,Vegetables,Knollen & wortelgewassen,48
2025-03-231,2025-03-23,1,Vegetables,Knollen & wortelgewassen,65
2025-03-301,2025-03-30,1,Vegetables,Knollen & wortelgewassen,46
2025-04-061,2025-04-06,1,Vegetables,Knollen & wortelgewassen,52
2025-04-131,2025-04-13,1,Vegetables,Knollen & wortelgewassen,50
2025-04-201,2025-04-20,1,Vegetables,Knollen & wortelgewassen,51
2025-04-271,2025-04-27,1,Vegetables,Knollen & wortelgewassen,53
2025-05-041,2025-05-04,1,Vegetables,Knollen & wortelgewassen,49
2025-05-111,2025-05-11,1,Vegetables,Knollen & wortelgewassen,43
2025-05-181,2025-05-18,1,Vegetables,Knollen & wortelgewassen,40
2025-05-251,2025-05-25,1,Vegetables,Knollen & wortelgewassen,45
2025-06-011,2025-06-01,1,Vegetables,Knollen & wortelgewassen,39
2025-06-081,2025-06-08,1,Vegetables,Knollen & wortelgewassen,46
2025-06-151,2025-06-15,1,Vegetables,Knollen & wortelgewassen,50
2025-06-221,2025-06-22,1,Vegetables,Knollen & wortelgewassen,50
2025-06-291,2025-06-29,1,Vegetables,Knollen & wortelgewassen,44
2020-12-272,2020-12-27,2,Vegetables,Knollen & wortelgewassen,42
2021-01-032,2021-01-03,2,Vegetables,Knollen & wortelgewassen,36
2021-01-102,2021-01-10,2,Vegetables,Knollen & wortelgewassen,37
2021-01-172,2021-01-17,2,Vegetables,Knollen & wortelgewassen,37
2021-01-242,2021-01-24,2,Vegetables,Knollen & wortelgewassen,38
2021-01-312,2021-01-31,2,Vegetables,Knollen & wortelgewassen,38
2021-02-072,2021-02-07,2,Vegetables,Knollen & wortelgewassen,35
2021-02-142,2021-02-14,2,Vegetables,Knollen & wortelgewassen,34
2021-02-212,2021-02-21,2,Vegetables,Knollen & wortelgewassen,37
2021-02-282,2021-02-28,2,Vegetables,Knollen & wortelgewassen,36
2021-03-072,2021-03-07,2,Vegetables,Knollen & wortelgewassen,28
2021-03-142,2021-03-14,2,Vegetables,Knollen & wortelgewassen,30
2021-03-212,2021-03-21,2,Vegetables,Knollen & wortelgewassen,39
2021-03-282,2021-03-28,2,Vegetables,Knollen & wortelgewassen,22
2021-04-042,2021-04-04,2,Vegetables,Knollen & wortelgewassen,8
2021-04-112,2021-04-11,2,Vegetables,Knollen & wortelgewassen,12
2021-04-182,2021-04-18,2,Vegetables,Knollen & wortelgewassen,21
2021-04-252,2021-04-25,2,Vegetables,Knollen & wortelgewassen,14
2021-05-022,2021-05-02,2,Vegetables,Knollen & wortelgewassen,16
2021-05-092,2021-05-09,2,Vegetables,Knollen & wortelgewassen,14
2021-05-162,2021-05-16,2,Vegetables,Knollen & wortelgewassen,14
2021-05-232,2021-05-23,2,Vegetables,Knollen & wortelgewassen,9
2021-05-302,2021-05-30,2,Vegetables,Knollen & wortelgewassen,9
2021-06-062,2021-06-06,2,Vegetables,Knollen & wortelgewassen,0
2021-06-132,2021-06-13,2,Vegetables,Knollen & wortelgewassen,0
2021-06-202,2021-06-20,2,Vegetables,Knollen & wortelgewassen,0
2021-06-272,2021-06-27,2,Vegetables,Knollen & wortelgewassen,6
2021-07-042,2021-07-04,2,Vegetables,Knollen & wortelgewassen,7
2021-07-112,2021-07-11,2,Vegetables,Knollen & wortelgewassen,8
2021-07-182,2021-07-18,2,Vegetables,Knollen & wortelgewassen,10
2021-07-252,2021-07-25,2,Vegetables,Knollen & wortelgewassen,9
2021-08-012,2021-08-01,2,Vegetables,Knollen & wortelgewassen,0
2021-08-082,2021-08-08,2,Vegetables,Knollen & wortelgewassen,0
2021-08-152,2021-08-15,2,Vegetables,Knollen & wortelgewassen,0
2021-08-222,2021-08-22,2,Vegetables,Knollen & wortelgewassen,11
2021-08-292,2021-08-29,2,Vegetables,Knollen & wortelgewassen,0
2021-09-052,2021-09-05,2,Vegetables,Knollen & wortelgewassen,9
2021-09-122,2021-09-12,2,Vegetables,Knollen & wortelgewassen,0
2021-09-192,2021-09-19,2,Vegetables,Knollen & wortelgewassen,13
2021-09-262,2021-09-26,2,Vegetables,Knollen & wortelgewassen,18
2021-10-032,2021-10-03,2,Vegetables,Knollen & wortelgewassen,23
2021-10-102,2021-10-10,2,Vegetables,Knollen & wortelgewassen,72
2021-10-172,2021-10-17,2,Vegetables,Knollen & wortelgewassen,35
2021-10-242,2021-10-24,2,Vegetables,Knollen & wortelgewassen,45
2021-10-312,2021-10-31,2,Vegetables,Knollen & wortelgewassen,54
2021-11-072,2021-11-07,2,Vegetables,Knollen & wortelgewassen,57
2021-11-142,2021-11-14,2,Vegetables,Knollen & wortelgewassen,56
2021-11-212,2021-11-21,2,Vegetables,Knollen & wortelgewassen,36
2021-11-282,2021-11-28,2,Vegetables,Knollen & wortelgewassen,38
2021-12-052,2021-12-05,2,Vegetables,Knollen & wortelgewassen,36
2021-12-122,2021-12-12,2,Vegetables,Knollen & wortelgewassen,48
2021-12-192,2021-12-19,2,Vegetables,Knollen & wortelgewassen,68
2021-12-262,2021-12-26,2,Vegetables,Knollen & wortelgewassen,29
2022-01-022,2022-01-02,2,Vegetables,Knollen & wortelgewassen,44
2022-01-092,2022-01-09,2,Vegetables,Knollen & wortelgewassen,50
2022-01-162,2022-01-16,2,Vegetables,Knollen & wortelgewassen,50
2022-01-232,2022-01-23,2,Vegetables,Knollen & wortelgewassen,46
2022-01-302,2022-01-30,2,Vegetables,Knollen & wortelgewassen,46
2022-02-062,2022-02-06,2,Vegetables,Knollen & wortelgewassen,48
2022-02-132,2022-02-13,2,Vegetables,Knollen & wortelgewassen,30
2022-02-202,2022-02-20,2,Vegetables,Knollen & wortelgewassen,27
2022-02-272,2022-02-27,2,Vegetables,Knollen & wortelgewassen,25
2022-03-062,2022-03-06,2,Vegetables,Knollen & wortelgewassen,24
2022-03-132,2022-03-13,2,Vegetables,Knollen & wortelgewassen,31
2022-03-202,2022-03-20,2,Vegetables,Knollen & wortelgewassen,40
2022-03-272,2022-03-27,2,Vegetables,Knollen & wortelgewassen,31
2022-04-032,2022-04-03,2,Vegetables,Knollen & wortelgewassen,21
2022-04-102,2022-04-10,2,Vegetables,Knollen & wortelgewassen,26
2022-04-172,2022-04-17,2,Vegetables,Knollen & wortelgewassen,15
2022-04-242,2022-04-24,2,Vegetables,Knollen & wortelgewassen,15
2022-05-012,2022-05-01,2,Vegetables,Knollen & wortelgewassen,13
2022-05-082,2022-05-08,2,Vegetables,Knollen & wortelgewassen,8
2022-05-152,2022-05-15,2,Vegetables,Knollen & wortelgewassen,17
2022-05-222,2022-05-22,2,Vegetables,Knollen & wortelgewassen,13
2022-05-292,2022-05-29,2,Vegetables,Knollen & wortelgewassen,31
2022-06-052,2022-06-05,2,Vegetables,Knollen & wortelgewassen,16
2022-06-122,2022-06-12,2,Vegetables,Knollen & wortelgewassen,12
2022-06-192,2022-06-19,2,Vegetables,Knollen & wortelgewassen,0
2022-06-262,2022-06-26,2,Vegetables,Knollen & wortelgewassen,8
2022-07-032,2022-07-03,2,Vegetables,Knollen & wortelgewassen,12
2022-07-102,2022-07-10,2,Vegetables,Knollen & wortelgewassen,7
2022-07-172,2022-07-17,2,Vegetables,Knollen & wortelgewassen,0
2022-07-242,2022-07-24,2,Vegetables,Knollen & wortelgewassen,12
2022-07-312,2022-07-31,2,Vegetables,Knollen & wortelgewassen,0
2022-08-072,2022-08-07,2,Vegetables,Knollen & wortelgewassen,8
2022-08-142,2022-08-14,2,Vegetables,Knollen & wortelgewassen,12
2022-08-212,2022-08-21,2,Vegetables,Knollen & wortelgewassen,21
2022-08-282,2022-08-28,2,Vegetables,Knollen & wortelgewassen,24
2022-09-042,2022-09-04,2,Vegetables,Knollen & wortelgewassen,13
2022-09-112,2022-09-11,2,Vegetables,Knollen & wortelgewassen,13
2022-09-182,2022-09-18,2,Vegetables,Knollen & wortelgewassen,18
2022-09-252,2022-09-25,2,Vegetables,Knollen & wortelgewassen,21
2022-10-022,2022-10-02,2,Vegetables,Knollen & wortelgewassen,20
2022-10-092,2022-10-09,2,Vegetables,Knollen & wortelgewassen,43
2022-10-162,2022-10-16,2,Vegetables,Knollen & wortelgewassen,31
2022-10-232,2022-10-23,2,Vegetables,Knollen & wortelgewassen,50
2022-10-302,2022-10-30,2,Vegetables,Knollen & wortelgewassen,41
2022-11-062,2022-11-06,2,Vegetables,Knollen & wortelgewassen,48
2022-11-132,2022-11-13,2,Vegetables,Knollen & wortelgewassen,42
2022-11-202,2022-11-20,2,Vegetables,Knollen & wortelgewassen,48
2022-11-272,2022-11-27,2,Vegetables,Knollen & wortelgewassen,48
2022-12-042,2022-12-04,2,Vegetables,Knollen & wortelgewassen,51
2022-12-112,2022-12-11,2,Vegetables,Knollen & wortelgewassen,68
2022-12-182,2022-12-18,2,Vegetables,Knollen & wortelgewassen,78
2022-12-252,2022-12-25,2,Vegetables,Knollen & wortelgewassen,75
2023-01-012,2023-01-01,2,Vegetables,Knollen & wortelgewassen,100
2023-01-082,2023-01-08,2,Vegetables,Knollen & wortelgewassen,44
2023-01-152,2023-01-15,2,Vegetables,Knollen & wortelgewassen,35
2023-01-222,2023-01-22,2,Vegetables,Knollen & wortelgewassen,44
2023-01-292,2023-01-29,2,Vegetables,Knollen & wortelgewassen,42
2023-02-052,2023-02-05,2,Vegetables,Knollen & wortelgewassen,51
2023-02-122,2023-02-12,2,Vegetables,Knollen & wortelgewassen,43
2023-02-192,2023-02-19,2,Vegetables,Knollen & wortelgewassen,32
2023-02-262,2023-02-26,2,Vegetables,Knollen & wortelgewassen,38
2023-03-052,2023-03-05,2,Vegetables,Knollen & wortelgewassen,42
2023-03-122,2023-03-12,2,Vegetables,Knollen & wortelgewassen,38
2023-03-192,2023-03-19,2,Vegetables,Knollen & wortelgewassen,28
2023-03-262,2023-03-26,2,Vegetables,Knollen & wortelgewassen,26
2023-04-022,2023-04-02,2,Vegetables,Knollen & wortelgewassen,30
2023-04-092,2023-04-09,2,Vegetables,Knollen & wortelgewassen,17
2023-04-162,2023-04-16,2,Vegetables,Knollen & wortelgewassen,22
2023-04-232,2023-04-23,2,Vegetables,Knollen & wortelgewassen,17
2023-04-302,2023-04-30,2,Vegetables,Knollen & wortelgewassen,22
2023-05-072,2023-05-07,2,Vegetables,Knollen & wortelgewassen,22
2023-05-142,2023-05-14,2,Vegetables,Knollen & wortelgewassen,11
2023-05-212,2023-05-21,2,Vegetables,Knollen & wortelgewassen,16
2023-05-282,2023-05-28,2,Vegetables,Knollen & wortelgewassen,12
2023-06-042,2023-06-04,2,Vegetables,Knollen & wortelgewassen,12
2023-06-112,2023-06-11,2,Vegetables,Knollen & wortelgewassen,0
2023-06-182,2023-06-18,2,Vegetables,Knollen & wortelgewassen,8
2023-06-252,2023-06-25,2,Vegetables,Knollen & wortelgewassen,7
2023-07-022,2023-07-02,2,Vegetables,Knollen & wortelgewassen,0
2023-07-092,2023-07-09,2,Vegetables,Knollen & wortelgewassen,0
2023-07-162,2023-07-16,2,Vegetables,Knollen & wortelgewassen,8
2023-07-232,2023-07-23,2,Vegetables,Knollen & wortelgewassen,13
2023-07-302,2023-07-30,2,Vegetables,Knollen & wortelgewassen,12
2023-08-062,2023-08-06,2,Vegetables,Knollen & wortelgewassen,12
2023-08-132,2023-08-13,2,Vegetables,Knollen & wortelgewassen,9
2023-08-202,2023-08-20,2,Vegetables,Knollen & wortelgewassen,12
2023-08-272,2023-08-27,2,Vegetables,Knollen & wortelgewassen,13
